,Elo,Conf,Grp,R32,R16,QF,SF,Final,Win,R32_SE,R16_SE,QF_SE,SF_SE,Final_SE,Win_SE
Belgium,1838,UEFA,G,85.2,44.8,19.3,6.8,2.6,0.9,0.36,0.5,0.39,0.25,0.16,0.09
Senegal,1847,CAF,I,62.0,31.6,14.9,5.5,2.1,0.8,0.49,0.46,0.36,0.23,0.14,0.09
Austria,1830,UEFA,J,91.7,30.7,13.5,5.7,2.2,0.6,0.28,0.46,0.34,0.23,0.15,0.08
Iran,1780,AFC,G,65.9,30.1,10.5,3.3,1.3,0.5,0.47,0.46,0.31,0.18,0.11,0.07
Canada,1733,CONCACAF,B,100.0,53.3,18.7,5.4,1.6,0.5,0.0,0.5,0.39,0.23,0.13,0.07
South Korea,1783,AFC,A,91.8,41.7,16.2,5.3,1.7,0.4,0.27,0.49,0.37,0.22,0.13,0.06
Türkiye,1819,UEFA,D,46.4,21.0,7.7,3.0,1.0,0.4,0.5,0.41,0.27,0.17,0.1,0.06
Algeria,1785,CAF,J,51.1,16.9,7.0,2.6,1.1,0.3,0.5,0.37,0.26,0.16,0.1,0.05
Côte d'Ivoire,1738,CAF,E,96.8,32.5,9.9,2.9,0.9,0.3,0.18,0.47,0.3,0.17,0.09,0.05
DR Congo,1739,CAF,K,60.0,19.0,6.2,2.2,0.7,0.2,0.49,0.39,0.24,0.15,0.08,0.04
Sweden,1753,UEFA,F,94.9,32.1,11.5,3.2,0.8,0.2,0.22,0.47,0.32,0.18,0.09,0.04
Egypt,1731,CAF,G,74.9,29.7,8.7,2.4,0.8,0.2,0.43,0.46,0.28,0.15,0.09,0.04
Scotland,1744,UEFA,C,84.6,27.9,9.1,2.5,0.5,0.1,0.36,0.45,0.29,0.16,0.07,0.03
Uzbekistan,1649,AFC,K,25.5,5.4,1.5,0.3,0.1,0.1,0.44,0.23,0.12,0.05,0.03,0.03
Ghana,1667,CAF,L,69.6,16.2,4.2,1.0,0.2,0.1,0.46,0.37,0.2,0.1,0.04,0.03
Paraguay,1724,CONMEBOL,D,30.0,10.9,2.7,0.9,0.2,0.1,0.46,0.31,0.16,0.09,0.04,0.03
Haiti,1506,CONCACAF,C,8.8,1.2,0.3,0.1,0.0,0.0,0.28,0.11,0.05,0.03,0.0,0.0
Iraq,1604,AFC,I,8.2,2.1,0.5,0.1,0.0,0.0,0.27,0.14,0.07,0.03,0.0,0.0
Bosnia & Herzegovina,1598,UEFA,B,44.4,9.5,2.4,0.5,0.1,0.0,0.5,0.29,0.15,0.07,0.03,0.0
Cabo Verde,1529,CAF,H,37.9,4.6,1.0,0.1,0.0,0.0,0.49,0.21,0.1,0.03,0.0,0.0
Saudi Arabia,1640,AFC,H,52.6,9.7,2.9,0.7,0.2,0.0,0.5,0.3,0.17,0.08,0.04,0.0
Jordan,1650,AFC,J,15.7,4.2,1.3,0.4,0.1,0.0,0.36,0.2,0.11,0.06,0.03,0.0
Qatar,1522,AFC,B,29.3,4.7,1.0,0.2,0.0,0.0,0.46,0.21,0.1,0.04,0.0,0.0
New Zealand,1550,OFC,G,34.5,7.3,1.3,0.2,0.0,0.0,0.48,0.26,0.11,0.04,0.0,0.0
Tunisia,1627,CAF,F,11.2,2.7,0.8,0.2,0.0,0.0,0.32,0.16,0.09,0.04,0.0,0.0
Czechia,1713,UEFA,A,20.5,8.4,2.8,0.6,0.2,0.0,0.4,0.28,0.16,0.08,0.04,0.0
South Africa,1557,CAF,A,18.3,4.8,0.9,0.2,0.0,0.0,0.39,0.21,0.09,0.04,0.0,0.0
Panama,1573,CONCACAF,L,8.6,1.5,0.3,0.0,0.0,0.0,0.28,0.12,0.05,0.0,0.0,0.0
Curaçao,1432,CONCACAF,E,4.5,0.5,0.1,0.0,0.0,0.0,0.21,0.07,0.03,0.0,0.0,0.0
