match,group,home,away,m_home,m_draw,m_away,mkt_home,mkt_draw,mkt_away,pred,xg_home,xg_away,actual,score,played
24,K,Uzbekistan,Colombia,7.3,16.3,76.3,9.5,19.6,71.0,0-2,0.6,2.4,A,1-3,1
25,A,Czechia,South Africa,45.7,28.1,26.2,51.8,26.6,21.6,1-1,1.4,1.0,D,1-1,1
26,B,Switzerland,Bosnia & Herzegovina,71.9,18.7,9.4,62.1,23.2,14.7,2-0,2.2,0.7,H,4-1,1
27,B,Canada,Qatar,65.8,21.6,12.6,76.2,16.2,7.7,2-0,2.0,0.7,H,6-0,1
28,A,Mexico,South Korea,60.8,23.7,15.5,47.5,28.8,23.7,1-0,1.8,0.8,H,1-0,1
29,D,United States,Australia,47.6,27.7,24.7,,,,1-1,1.5,1.0,H,2-0,1
30,C,Scotland,Morocco,17.5,24.9,57.6,15.8,26.1,58.1,0-1,0.8,1.7,A,0-1,1
31,C,Brazil,Haiti,84.6,11.4,4.0,88.4,8.1,3.6,2-0,2.8,0.5,H,3-0,1
32,D,Türkiye,Paraguay,38.0,29.0,33.0,47.0,28.1,25.0,1-1,1.2,1.1,A,0-1,1
33,F,Netherlands,Sweden,62.6,23.0,14.4,56.7,23.5,19.8,1-0,1.9,0.8,H,5-1,1
34,E,Germany,Côte d'Ivoire,49.7,27.2,23.0,65.1,20.1,14.8,1-1,1.5,0.9,H,2-1,1
35,E,Ecuador,Curaçao,78.0,15.4,6.6,86.7,9.7,3.5,2-0,2.4,0.6,D,0-0,1
36,F,Tunisia,Japan,13.0,21.9,65.1,13.6,23.2,63.1,0-2,0.7,1.9,A,0-4,1
37,H,Spain,Saudi Arabia,91.9,6.4,1.7,89.0,8.2,2.8,3-0,3.5,0.4,H,4-0,1
38,G,Belgium,Iran,50.3,27.1,22.6,68.1,20.2,11.8,1-1,1.5,0.9,D,0-0,1
39,H,Uruguay,Cabo Verde,66.0,21.5,12.5,66.8,22.5,10.7,2-0,2.0,0.7,D,2-2,1
40,G,New Zealand,Egypt,14.9,23.3,61.8,15.5,23.3,61.3,0-1,0.8,1.8,A,1-3,1
41,J,Argentina,Austria,77.3,15.8,6.9,64.6,22.8,12.6,2-0,2.4,0.6,H,2-0,1
42,I,France,Iraq,85.3,10.9,3.8,94.7,4.8,0.4,2-0,2.9,0.5,H,3-0,1
43,I,Norway,Senegal,50.1,27.1,22.7,41.8,27.9,30.3,1-1,1.5,0.9,H,3-2,1
44,J,Jordan,Algeria,21.9,26.8,51.3,14.2,22.1,63.7,1-1,0.9,1.5,A,1-2,1
45,K,Portugal,Uzbekistan,76.4,16.3,7.3,84.9,11.1,4.0,2-0,2.4,0.6,H,5-0,1
46,L,England,Ghana,82.4,12.8,4.9,82.0,13.0,5.1,2-0,2.7,0.5,D,0-0,1
47,L,Panama,Croatia,9.6,18.9,71.6,13.1,22.0,64.8,0-2,0.7,2.2,A,0-1,1
48,K,Colombia,DR Congo,60.9,23.6,15.4,63.2,23.5,13.3,1-0,1.8,0.8,H,1-0,1
49,B,Switzerland,Canada,55.8,25.5,18.7,40.7,30.7,28.5,1-0,1.7,0.9,H,2-1,1
50,B,Bosnia & Herzegovina,Qatar,49.1,27.4,23.5,69.6,18.0,12.4,1-1,1.5,1.0,H,3-1,1
51,C,Scotland,Brazil,12.8,21.8,65.4,9.6,17.3,73.0,0-2,0.7,1.9,A,0-3,1
52,C,Morocco,Haiti,78.9,14.8,6.2,82.5,12.5,5.0,2-0,2.5,0.6,H,4-2,1
53,A,Czechia,Mexico,12.1,21.2,66.7,25.4,24.6,50.0,0-2,0.7,2.0,A,0-3,1
54,A,South Africa,South Korea,21.4,26.7,51.9,17.3,24.7,58.0,1-1,0.9,1.6,H,1-0,1
55,E,Ecuador,Germany,34.7,29.1,36.3,16.6,19.1,64.3,1-1,1.2,1.2,H,2-1,1
56,E,Curaçao,Côte d'Ivoire,12.5,21.6,65.9,4.3,10.9,84.8,0-2,0.7,2.0,A,0-2,1
57,F,Japan,Sweden,50.6,27.0,22.4,52.1,26.9,20.9,1-1,1.5,0.9,D,1-1,1
58,F,Tunisia,Netherlands,7.5,16.5,75.9,2.6,8.0,89.4,0-2,0.6,2.3,A,1-3,1
59,D,Türkiye,United States,29.0,28.6,42.4,24.3,23.0,52.7,1-1,1.1,1.3,H,3-2,1
60,D,Paraguay,Australia,37.9,29.0,33.1,33.5,42.8,23.7,1-1,1.2,1.1,D,0-0,1
61,I,Norway,France,24.5,27.7,47.8,19.1,20.1,60.8,1-1,1.0,1.5,A,1-4,1
62,I,Senegal,Iraq,62.3,23.1,14.6,79.6,13.6,6.8,1-0,1.8,0.8,H,5-0,1
63,H,Cabo Verde,Saudi Arabia,28.6,28.5,42.9,36.2,28.8,34.9,1-1,1.1,1.4,D,0-0,1
64,H,Uruguay,Spain,6.9,15.7,77.4,13.2,23.8,63.0,0-2,0.6,2.4,A,0-1,1
65,G,Egypt,Iran,32.4,29.0,38.6,38.5,36.7,24.8,1-1,1.1,1.3,D,1-1,1
66,G,New Zealand,Belgium,6.4,15.2,78.4,5.2,11.6,83.2,0-2,0.6,2.5,A,1-5,1
67,L,Panama,England,2.3,7.9,89.7,5.0,10.6,84.4,0-3,0.4,3.3,A,0-2,1
68,L,Croatia,Ghana,60.1,24.0,15.9,50.9,30.4,18.8,1-0,1.8,0.8,H,2-1,1
69,K,Colombia,Portugal,35.4,29.1,35.5,27.1,24.8,48.1,1-1,1.2,1.2,D,0-0,1
70,K,DR Congo,Uzbekistan,52.0,26.6,21.4,60.4,22.8,16.9,1-1,1.6,0.9,H,3-1,1
71,J,Algeria,Austria,32.5,29.0,38.5,22.8,44.7,32.6,1-1,1.1,1.3,D,3-3,1
72,J,Jordan,Argentina,2.3,7.7,90.0,4.5,10.6,85.0,0-3,0.4,3.3,A,1-3,1
